Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
3.739417872,0.14066033464192396,-0.3161845854736587,-0.13805018847030004,
3.749502717,0.12402047237967684,-0.22996335441408355,0.10791107030835467,
3.759591364,0.03409405963591927,-0.14566349358986042,0.2012505214383341,
3.769735427,0.019613809720454123,-0.10120791889532565,0.3448751136438161,
3.779731522,-0.03793906582532136,0.003309864224560144,0.4329597186864305,
3.789821784,-0.09164280425022298,0.2133374360573823,0.5455653533793202,
3.799999337,-0.17291303261526636,0.4120056269464918,0.5743583095436662,
3.810169494,-0.1421611450863537,0.501986856293521,0.6471920690826869,
3.820142099,-0.09457532109837996,0.596956153735988,0.5637223308795528,
3.830122569,-0.09864457084354772,0.6231330077055874,0.5046079783053268,
3.84022382,-0.00996271478030697,0.6708887609007981,0.36920986401328004,
3.850372102,0.034167832478732896,0.8048613383104826,0.22641490163237699,
3.860499759,0.13076377419221485,0.9695009480897916,0.07770241309667303,
3.870530021,0.08162665770521227,1.2046412858155833,-0.13703567179469522,
3.880538876,0.09977784479515128,1.3467856910059819,-0.3547947914793353,
3.890603512,0.05300724287713665,1.3264252874239268,-0.5366635252153287,
3.90069044,-0.08017730887822228,1.1952153947340634,-0.693650693028403,
3.910889817,-0.11394128939383763,1.1860154554356885,-0.7617795708411795,
3.920857734,-0.1064759074916326,1.232286332854411,-0.8469284727282416,
3.931053829,0.14083188539585412,1.384223841674153,-0.6775427781825932,
3.94110409,0.2850480537878747,1.406175917821745,-0.419451119366143,
3.95116331,0.37743662685293167,1.2781694940230217,-0.24362354426610777,
3.961158415,0.3325950772773283,1.0991499751012306,-0.14509944080534232,
3.971283833,0.34652123222438946,1.1206552767118438,-0.09309519099571428,
3.981325709,0.29637060459207265,1.1263681239573646,0.005968993764097541,
3.991406491,0.19878926989039392,0.8053257613729237,0.02009811867155631,
4.00147118,-0.0746426811488421,0.6902292370280261,0.18463027373057994,
4.011551337,-0.5040779297091127,1.0310240268294528,0.343071090341428,
4.021642328,-0.8897641328603079,1.3534592055944223,0.554099633026774,
4.031830818,-0.8267330668473285,1.431362792942334,0.9451043714909994,
4.041913632,-0.7456622713489565,0.2793469787386318,1.3077075568699237,
4.051968216,-0.3973322386489895,-1.393087358415345,1.6897274087161538,
4.062049884,0.13032871286498793,-2.531837440443214,1.746346364839134,
4.072189885,0.3953978999489727,-3.0291190917588686,1.6843813979015807,
4.082162229,0.49253158442451017,-2.840844406707875,1.6194863576401124,
4.092219262,0.35188731092034553,-2.326305591284269,1.759106465872832,
4.102361659,-0.03644016156340624,-1.5890626615039771,1.8324953625176015,
4.112467232,-0.5118231993496019,-0.9571311716836508,1.8452378519037298,
4.122480098,-0.9151138481759706,-0.4784010127863745,1.6179272657759132,
4.132604318,-0.9810881946296437,-0.4210280001705051,1.240711746702762,
4.142678954,-0.9687452581573284,-0.5168661928610128,0.6861114963612334,
4.152792341,-0.8247955534496909,-0.6050289039958407,0.024079931952267764,
4.162760779,-0.6406828477890496,-0.39974730532557956,-0.5898207559762714,
4.172827499,-0.43593170761356426,-0.22019915041280846,-1.1000950920246697,
4.182979219,-0.05761053180130071,-0.275758014177903,-1.3742393960684662,
4.192997188,0.43658264465783647,-0.4198037990376342,-1.363711413552771,
